sample_id,text,word_count
wt_6524,"Between November 27 , 2006 , and April 1 , 2007 , 3329 images of the star WASP @-@ 13 by the SuperWASP @-@ North program based at Roque de los Muchachos Observatory in the Canary Islands led to the identification of WASP @-@ 13 as host to a potentially transiting object . Photometric follow @-@ up observations were taken on February 16 , 2008 using the James Gregory Telescope ( JGT ) in Scotland , which took 1047 exposures of the star , although the last twenty images taken were obscured by cloud cover and were discarded . Using HD 80408 as a reference star along with JGT measurements , the astronomers investigating the system were able to create a light curve for the transiting planet .",128
wt_6525,Murmur ( 2007 ) – original album with lyrics and vocals by Chata,13
wt_6526,"William Rubinstein et al . , Uses of Holocaust , letters to the London Review of Books",17
wt_6527,"Since the abolition of bishops within the Scottish Church in 1689 , ownership of the abandoned cathedral fell to the crown , but no attempt to halt the decline of the building took place . Acknowledging the necessity to stabilise the structure , the Elgin Town Council initiated the reconstruction of the perimeter wall in 1809 and cleared debris from the surrounding area in about 1815 . The Lord Provost of Elgin petitioned the King 's Remembrancer for assistance to build a new roof for the chapterhouse and in 1824 , £ 121 was provided to the architect Robert Reid for its construction . Reid was significant in the development of a conservation policy for historical buildings in Scotland and was to become the first Head of the Scottish Office of Works ( SOW ) in 1827 . It was probably during his tenure at the SOW that the supporting buttresses to the choir and transept walls were built .",160
wt_6528,"Hakim generally avoids discussing her personal life with the press and is unwilling to discuss topics that are not of public interest . In 1992 she said that "" 90 percent of the journalists here aren 't interested in [ her ] films , they just want to know about [ her ] private life . """,57
wt_6529,"Le festin d 'Esope ( Op. 39 , no . 12 ) and other works – played by Raymond Lewenthal . Recorded 1966 . RCA LM 2815 [ LP mono ] , LSC @-@ 2815 [ LP stereo ] ; BMG High Performance Series 633310 ( 1999 )",48
wt_6530,"When the Simpson family go to an Australian pub , Bart plays with a pocketknife at the table and a man asks him : "" You call that a knife ? "" , and as the man draws a spoon from his pocket he says : "" This is a knife . "" The scene is a reference to a famous scene from Crocodile Dundee in which Mick Dundee is threatened by some thugs with a switchblade , and Mick takes out a bowie knife and says ; "" That 's not a knife ; that 's a knife ! "" The Simpson family is shown a slide show by the US Department of State depicting a boarded up cinema with a sign out the front saying "" Yahoo Serious Festival "" , in reference to the Australian actor and director Yahoo Serious . Wez , one of the characters from the 1981 film Mad Max 2 : The Road Warrior , is seen in the Australian mob that chases Bart and Homer to the American Embassy .",178
wt_6531,"All four of the common jumping events are held at indoor venues . The long and triple jump areas run alongside the central 60 m track and are mostly identical in form to their outdoor counterparts . The pole vault track and landing area are also alongside the central running track . Shot put ( or weight throw ) is the only throwing event held indoors due to size restrictions . The throwing area is similar to the outdoor event , but the landing sector is a rectangular section surrounded by netting or a stop barrier .",97
wt_6532,"Matters came to a head when Khalid bin Barghash attempted to take control of the palace in Zanzibar Town upon the death of his uncle in August 1896 , despite failing to gain the consent of the British consul there . Mathews opposed this succession and , with British agreement , called up 900 soldiers in an attempt to prevent it . This situation eventually led to the Anglo @-@ Zanzibar War and Mathews , with the support of Admiral Harry Rawson and five vessels of the Royal Navy , bombarded the palace and secured the end of Khalid 's administration . Mathews ' helped to arrange the succession of a pro @-@ British Sultan , Hamoud bin Mohammed , as Khalid 's successor . Mathews continued his reforms after the war , abolishing slavery in 1897 and establishing new farms to grow produce using Western techniques . He was appointed a member of the Grand Order of Hamondieh of Zanzibar and was permitted to accept and wear the decoration on 25 August 1897 .",175
wt_6533,"Judith and Thomas had three children : Shakespeare , Richard , and Thomas . Shakespeare Quiney died at six months of age , and neither Richard nor Thomas lived past 21 . The death of Judith 's last child led to legal wrangling over William Shakespeare 's will that lasted until 1652 . Scholars speculate that Thomas Quiney may have died in 1662 or 1663 when the burial records are incomplete .",72
wt_6534,""" Underneath "" first aired in the United States on March 31 , 2002 on the Fox network . The episode later debuted in the United Kingdom on February 2 , 2003 on BBC One . The episode earned a Nielsen household rating of 4 @.@ 4 , meaning that it was seen by 4 @.@ 4 % of the nation 's estimated households and was viewed by 4 @.@ 64 million households and over 7 @.@ 3 million viewers . "" Underneath "" was the 71st most watched episode of television that aired during the week ending March 31 .",101
wt_6535,"The British Geological Survey reports that in 2001 , China was the top producer of cadmium with almost one @-@ sixth of the world 's production , closely followed by South Korea and Japan .",35
wt_6536,""" Clocks "" ( Deep Dish Mix )",8
wt_6537,"The island 's geography comprises relatively low @-@ lying mountains surrounding a central plain , with several navigable rivers extending inland . The island has lush vegetation , a product of its mild but changeable climate which avoids extremes in temperature . Thick woodlands covered the island until the Middle Ages . As of 2013 , the amount of land that is wooded in Ireland is about 11 % of the total , compared with a European average of 35 % . There are twenty @-@ six extant mammal species native to Ireland . The Irish climate is very moderated and classified as oceanic . As a result , winters are milder than expected for such a northerly area . However , summers are cooler than those in Continental Europe . Rainfall and cloud cover are abundant .",138
wt_6538,"Upon returning to Oregon , Hobbs worked as a secretary for the Oregon Journal newspaper . She retired in 1948 as the secretary to the paper 's business manager . Fern Hobbs died on April 10 , 1964 , at the age of 80 , and was buried at the Hillsboro Pioneer Cemetery in Hillsboro , Oregon .",58
wt_6539,"This rail is related to the New Guinea flightless rail , Megacrex inepta , and the chestnut rail , Eulabeornis castaneoventris , all three Australasian genera probably being derived from Amaurornis ancestors . Storrs Olson argued that the genus Megacrex was so similar to Habroptila that Megacrex should be considered a junior synonym of Habroptila , resulting in two species in the genus . This was further lumped in Sidney Dillon Ripley 's 1977 monograph of the Rallidae ; he included Habroptila within the large genus Rallus . This suggestion was , however , not accepted by Gerlof Fokko Mees , who pointed out distinct differences in the shape and structure of the bill . A molecular phylogenetic analysis based on mitochondrial DNA sequence similarity found that Habroptila is part of evolutionary radiation within the broad genus Gallirallus that took place around 400 @,@ 000 years ago in the region .",151
wt_6540,"GHQ Liaison Regiment , RAC ( ' Phantom ' )",10
wt_6541,""" Casimir Pulaski Day "" interweaves a personal story with the state holiday Casimir Pulaski Day . "" The Man of Metropolis Steals Our Hearts "" makes references to Superman , whose fictional hometown of Metropolis was partially modeled after Chicago ( the town of Metropolis , Illinois has also capitalized on this association ) . Jessica Hopper of the Chicago Reader noted that Ray Middleton — who was the first actor to play the comic book superhero — was also born in Chicago . "" They Are Night Zombies ! ! They Are Neighbors ! ! They Have Come Back from the Dead ! ! Ahhhh ! "" makes references to ghost towns of Illinois . Stevens relates experiences from a summer camp he went to as a child in Michigan for "" The Predatory Wasp of the Palisades Is Out to Get Us ! "" , but moved the locale to Illinois for the sake of the album . The track "" Decatur , or , Round of Applause for Your Stepmother ! "" includes references to Decatur , Illinois , but Stevens stated the track also acted as "" an exercise in rhyme schemes "" . Some references to Decatur included in the song were alligator sightings in the area , the equipment manufacturer Caterpillar , and a flood that exhumed a graveyard of soldiers from the Civil War .",233
wt_6542,""" Caught Up "" ( Official Remix ) ( featuring Fabolous ) – 4 : 39",16
wt_6543,"McKay got his fellow Democrat , New Hampshire Senator Charles Atherton , to introduce the bill to authorize the gold dollar and the double eagle in the Senate on February 1 , 1849 — Atherton was chairman of the Senate Finance Committee . McKay introduced a version into the House on February 20 ; debate began the same day . The dollar was attacked by congressmen from the Whig Party , then in the minority , on the grounds that it would be too small , would be counterfeited and in bad light might be mistakenly spent as a half dime , the coins being similar in size . McKay did not respond substantively , but stated that if no one wanted these denominations , they would not be called for at the Mint , and would not be coined . Pennsylvania Representative Joseph Ingersoll , a Whig , spoke against the bill , noting that Patterson opposed the new denominations , and that the idea had been repeatedly turned down , whenever considered . Another Whig , Massachusetts 's Charles Hudson , related that Patterson had sent a real and a counterfeit gold dollar to his committee and the majority of members had been unable to tell the difference . McKay made no answer to these claims , but others did , including New York Congressman Henry Nicoll , who assured the House that the counterfeiting allegations were greatly exaggerated . The point was , he indicated , that the double eagle and gold dollar were wanted by the public , and , in the case of the gold dollar could help money circulate in small communities where banknotes were not accepted . Connecticut Representative John A. Rockwell , a Whig , tried to table the bill , but his motion was defeated . The bill passed easily , and met only minimal opposition in the Senate , becoming law on March 3 , 1849 .",327
wt_6544,"Many of Oldham 's present divisions and suburbs have origins as pre @-@ industrial hamlets , manorial commons and ancient chapelries . Some , such as Moorside , exist as recently constructed residential suburbia , whilst places like Hollinwood exist as electoral wards and thoroughly industrialised districts . Throughout most of its recorded history , Oldham was surrounded by large swathes of moorland , which is reflected in the placenames of Moorside , Greenacres moor , Littlemoor , Northmoor among others .",82
wt_6545,"According to Reena Jana from Business Week , The Clean Tech Revolution is a "" readable , straightforward guide to earth @-@ friendly business strategies "" . The authors explain how businesses can follow the lead of companies such as Toyota by designing , selling , or funding inventive eco @-@ friendly products and services . Jana says that the Toyota Prius is just one well @-@ known example of successful clean technology in action .",76
wt_6546,"In the chronic stage , treatment involves managing the clinical manifestations of the disease . For example , pacemakers and medications for irregular heartbeats , such as the anti @-@ arrhythmia drug amiodarone , may be life saving for some patients with chronic cardiac disease , while surgery may be required for megaintestine . The disease cannot be cured in this phase , however . Chronic heart disease caused by Chagas disease is now a common reason for heart transplantation surgery . Until recently , however , Chagas disease was considered a contraindication for the procedure , since the heart damage could recur as the parasite was expected to seize the opportunity provided by the immunosuppression that follows surgery .",120
wt_6547,"During winter , visitors to the forest can participate in activities including snowmobiling , snowshoeing , and downhill and cross @-@ country skiing . The Bogus Basin ski area is located within the forest north of Boise and has 7 chairlifts and 53 runs on 2 @,@ 600 acres ( 11 km2 ) of skiable terrain . There are 137 miles ( 220 km ) of groomed snowmobile trails in the Garden Valley system in the Emmett Ranger District and several Mongolian @-@ style yurts available for rental in winter .",91
wt_6548,The EFSA Panel on Contaminants in the Food Chain specifies that 2 @.@ 5 μg / kg body weight is a tolerable weekly intake for humans . The Joint FAO / WHO Expert Committee on Food Additives has declared 7 μg / kg bw to be the provisional tolerable weekly intake level .,53
wt_6549,"In the 9 days of battle almost 2000 Allied soldiers were killed ( some of whom died of their wounds or in captivity after the battle ) . These included over 1174 men of the British 1st Airborne Division , 219 men of the Glider Pilot Regiment , 92 men of the Polish 1st Independent Parachute Brigade , 368 men of the RAF , 79 re @-@ supply dispatchers of the RASC , 25 men of XXX Corps and 27 men of US IX Troop Carrier Command . The exact number of German dead is unknown , but is believed to be at least 1300 . Additionally it is believed 453 Dutch civilians were killed during the battle .",119
wt_6550,"Stephanie died shortly after John 's arrival . Contemporary sources accused John of causing her sudden death , claiming that he severely beat her when he heard that she tried to poison his daughter Isabella . Their only son died a few weeks later , ending John 's claim to Cilicia . Soon after Pope Honorius learned about the deaths of Stephanie and her son , he declared Raymond @-@ Roupen the lawful ruler of Cilicia and threatened John with excommunication if he fought for his late wife 's inheritance .",91
wt_6551,"Coldhurst , an area along Oldham 's northern boundary with Royton , was once a chapelry and the site of considerable industry and commerce , including coal mining , cotton spinning and hat manufacture . It is said to have been the scene of an action in the English Civil War in which the Parliamentarians were defeated .",58
wt_6552,"Following the album 's release in Japan , it debuted at number nine on the Oricon Albums Chart . On the issue dated May 17 , 2010 , the album moved to a new peak of number seven and has since been certified platinum by the Recording Industry Association of Japan ( RIAJ ) for shipments of 250 @,@ 000 copies . In Australia , The Remix entered the ARIA Albums Chart at its peak position of number 12 on May 16 , 2010 , remaining on the chart for a total of five weeks . In the United Kingdom , the album debuted at number three on the official UK Albums Chart dated May 22 , 2010 , and has sold 166 @,@ 440 copies according to the Official Charts Company , being certified gold by the British Phonographic Industry ( BPI ) . Across Europe , the album debuted at seven on the European Top 100 Albums chart of Billboard . The Remix also reached the top of the charts in Greece , while attaining top @-@ ten positions in Belgium ( Flanders and Wallonia ) , Czech Republic , Ireland , the Netherlands and New Zealand .",200
wt_6553,"Some of the matches were changed after they were first announced , as several wrestlers left the WWF shortly before the event . Critics have praised the main event and the tag team match that was won by Savage and Perfect . Although the remaining bouts have received low ratings , critics have felt that those two matches made the event worth watching .",64
wt_6554,"News of the encounter was conveyed back to France , but the country was at this time in one of the most turbulent eras of the ongoing Revolution and little notice was taken of events in India . Historian William James notes that under normal political circumstances the action would have had more significant ramifications , while Edward Pelham Brenton claims that the French deliberately ignored the report out of fear of antagonising Britain . In Britain , the Admiralty approved of Cornwallis ' actions , suggesting that the French were deliberately using the guise of trade to support Mysore against Britain . The action had no effect on the ongoing war in India , which was now centred on the inland city of Seringapatam . As British forces closed on the city in February 1792 , the Tipu Sultan initiated peace talks which brought the war to an end in exchange for concessions to the Company and its Indian allies .",162
wt_6555,"USS Cushing ( Destroyer No. 55 / DD @-@ 55 ) was laid down by the Fore River Shipbuilding Company of Quincy , Massachusetts , in September 1913 and launched in January 1915 . The ship was the second U.S. Navy vessel named in honor of William B. Cushing , a U.S. Navy officer best known for sinking the Confederate ironclad warship CSS Albemarle during the American Civil War .",70
wt_6556,"Saverio Canale ( September 26 , 1766 ) – Cardinal @-@ Deacon of S. Maria della Scala ; commendatory abbot of Subiaco",22
wt_6557,"Besides the director , a matron , business manager and dietitian staffed a typical camp . An educational director was responsible for creating recreational , social and educational programs for the men . Church history , Bible and first aid were standard course topics . The strength of instructional programs varied from camp to camp , and after nine hours of physical labor , it could be difficult to motivate the men to attend classes . Most camps had libraries , some showed current films and camp number 56 ( Camp Angel ) near Waldport , Oregon had a particular emphasis on the arts . Camps produced newsletters and yearbooks documenting their experiences .",114
wt_6558,"In the early 1950s , working in Hanford and Savannah River Sites , Reines and Cowan developed the equipment and procedures with which they first detected the supposedly undetectable neutrinos in June 1956 . Reines dedicated the major part of his career to the study of the neutrino 's properties and interactions , which work would influence study of the neutrino for many researchers to come . This included the detection of neutrinos created in the atmosphere by cosmic rays , and the 1987 detection of neutrinos emitted from Supernova SN1987A , which inaugurated the field of neutrino astronomy .",100
wt_6559,"Six days later , between 250 @,@ 000 and 350 @,@ 000 people gathered in front of the Casa Rosada , Argentina 's government house , to demand Juan Perón 's release , and their wish was granted . At 11 pm , Juan Perón stepped on to the balcony of the Casa Rosada and addressed the crowd . Biographer Robert D. Crassweller claims that this moment was very powerful because it was very dramatic and recalled many important aspects of Argentine history . Crassweller writes that Juan Perón enacted the role of a caudillo addressing his people in the tradition of Argentine leaders Rosas and Yrigoyen . Crassweller also claims that the evening contained "" mystic overtones "" of a "" quasi @-@ religious "" nature . Eva Perón has often been credited with organizing the rally of thousands that freed Juan Perón from prison on 17 October 1945 . This version of events was popularized in the movie version of the Lloyd Webber musical . Most historians , however , agree that this version of events is unlikely . At the time of Perón 's imprisonment , Eva was still merely an actress . She had no political clout with the various labor unions , and it is claimed that she was not well @-@ liked within Perón 's inner circle , nor was she liked by many within the film and radio business at this point . When Juan Perón was imprisoned , Eva Duarte was suddenly disenfranchised . In reality , the massive rally that freed Perón from prison was organized by the various unions , such as General Labor Confederation , or CGT as they came to be known . To this day , the date of 17 October is something of a holiday for the Justicialist Party in Argentina ( celebrated as Día de la Lealtad , or "" Loyalty Day "" ) . What would follow was shocking and nearly unheard of . The well connected and politically rising star , Juan Peron , married Eva . Despite Eva 's childhood illegitimacy , and having an uncertain reputation , Peron was in love with Eva , and her loyal devotion to him even while he had been under arrest touched him deeply , and so he married her , providing a respectability she had never known . Eva and Juan were married discreetly in a civil ceremony in Junín on 18 October 1945 and in a church wedding on 9 December 1945 .",420
wt_6560,"The Jin – Song Wars were a series of conflicts between the Jurchen Jin dynasty ( 1115 – 1234 ) and Han Chinese Song dynasty ( 960 – 1279 ) . In 1115 , the Jurchens rebelled against their overlords , the Khitan Liao dynasty ( 907 – 1125 ) , and declared the formation of the Jin . Allying with the Song against their common enemy the Liao , the Jin promised to return to the Song the territories in northern China that had fallen under Liao control since 938 . The Jurchens ' quick defeat of the Liao combined with Song military failures made the Jin reluctant to cede these territories . After a series of failed negotiations that embittered both sides , the Jurchens attacked the Song in November 1125 , dispatching one army towards Taiyuan and the other towards Kaifeng , the Song capital .",149
wt_6561,"There are two types of chromatin . Euchromatin is the less compact DNA form , and contains genes that are frequently expressed by the cell . The other type , heterochromatin , is the more compact form , and contains DNA that is infrequently transcribed . This structure is further categorized into facultative heterochromatin , consisting of genes that are organized as heterochromatin only in certain cell types or at certain stages of development , and constitutive heterochromatin that consists of chromosome structural components such as telomeres and centromeres . During interphase the chromatin organizes itself into discrete individual patches , called chromosome territories . Active genes , which are generally found in the euchromatic region of the chromosome , tend to be located towards the chromosome 's territory boundary .",131
wt_6562,"Early positions on typography ( the "" arrangement and appearance of text "" ) supported traditional spacing techniques in English publications . In 1954 , Geoffrey Dowding 's book , Finer Points in the Spacing and Arrangement of Type , underscored the widespread shift from a single enlarged em space to a standard word space between sentences .",58
wt_6563,She stood in tears amid the alien corn ;,9
wt_6564,"Direct appeal of his conviction was considered and denied by the Supreme Court of Pennsylvania on March 6 , 1989 , subsequently denying rehearing . The Supreme Court of the United States denied his petition for writ of certiorari on October 1 , 1990 , and denied his petition for rehearing twice up to June 10 , 1991 .",59
wt_6565,""" Who Am I "" was included on the 2004 compilation album WOW Hits 2005 , the 2006 compilation album WOW Worship : Aqua , and the 2008 compilation album WOW Essentials , as well as the band 's 2004 live album Live from Atlanta . The band re @-@ recorded the song for their 2013 acoustic album The Acoustic Sessions : Volume One ; unlike the original , which featured Mark Hall on lead vocals , the acoustic version features Megan Garrett on lead vocals .",87
wt_6566,"Chastity , which enables people to love others with upright and undivided hearts .",14
wt_6567,"Fabrizio Serbelloni ( November 26 , 1753 ) – Cardinal @-@ Bishop of Albano",14
wt_6568,"On April 25 , 2008 , the FIBA Central Board approved rule changes that included the changes in the shape of the key ; the key is now rectangular and has virtually the same dimensions as the key used in the NBA . In addition , the no @-@ charge semicircles formally called the restricted area arc was also created .",61
wt_6569,"The Book of Household Management has been edited , revised and enlarged several times since Isabella 's death and is still in print as at 2016 . Food writers have stated that the subsequent editions of the work were far removed from and inferior to the original version . Several cookery writers , including Elizabeth David and Clarissa Dickson Wright , have criticised Isabella 's work , particularly her use of other people 's recipes . Others , such as the food writer Bee Wilson , consider the censure overstated , and that Beeton and her work should be thought extraordinary and admirable . Her name has become associated with knowledge and authority on Victorian cooking and home management , and the Oxford English Dictionary states that by 1891 the term Mrs Beeton had become used as a generic name for a domestic authority . She is also considered a strong influence in the building or shaping of a middle @-@ class identity of the Victorian era .",168
wt_6570,"Radhika Rajamani of Rediff.com called the film "" technically brilliant "" and wrote "" A reincarnation story is not often seen in Telugu cinema and SS Rajamouli uses this theme for Ram Charan Teja 's second film Magadheera . It 's a magnum opus production with great technical work . The graphics are excellent for a Telugu movie . Overall , the movie is a mainstream one with good packaging . "" She rated the film 3 out of 5 . Sify called the film a "" brilliant entertainer "" and wrote , "" Set against the backdrop of an eerie theme — reincarnation — Magadheera unfolds on the screen with multiple shades of entertainment . When the movie was launched last year , director Rajamouli dared to reveal the central theme of the story . He has succeeded in his attempt , as he was able to keep the screenplay and narration gripping from start to finish . The second half has the soul in it . "" Sify summarised , "" In short , the movie encompasses some of the best commercial elements that Telugu audience have seen in the recent past . """,196
wt_6571,"The morning after her death , while Evita 's body was being moved to the Ministry of Labour Building , eight people were crushed to death in the throngs . In the following 24 hours , over 2000 people were treated in city hospitals for injuries sustained in the rush to be near Evita as her body was being transported , and thousands more would be treated on the spot . For the following two weeks , lines would stretch for many city blocks with mourners waiting hours to see Evita 's body lie at the Ministry of Labour .",100
wt_6572,"Over the first weekend 130 @,@ 000 food packets and 70 @,@ 000 water containers were distributed to Haitians , as safe landing areas and distribution centers such as golf courses were secured . There were nearly 2 @,@ 000 rescuers present from 43 different groups , with 161 search dogs ; the airport had handled 250 tons of relief supplies by the end of the weekend . Reports from Sunday showed a record @-@ breaking number of successful rescues , with at least 12 survivors pulled from Port @-@ au @-@ Prince 's rubble , bringing the total number of rescues to 110 .",105
wt_6573,"Aerodrome is a collective term for any location from which flying operations take place , although more specific terminology can be used to characterise its purpose . The CAA strategic review of GA applies the term airport to locations which predominantly support large scale commercial operations , and airfield to locations which predominantly support GA operations . The General Aviation Small Aerodrome Research Study ( GASAR ) analysed 687 aerodromes in England which come under the scope of GA , classifying 374 into six types . These range in size from regional airports to the smallest farm strip , although 84 per cent of GA flights operate from 134 of the larger aerodromes in the first four categories .",119
wt_6574,"On the Turkish side , by that night the 2nd Battalion 57th Infantry were on Baby 700 , the 3rd Battalion , reduced to only ninety men , were at The Nek , and the 1st Battalion on Mortar Ridge . Just south of them was the 77th Infantry , next was the 27th Infantry opposite 400 Plateau . The last regiment , the 72nd Infantry , were on Battleship Hill . As for manpower , the Turks were in a similar situation to the ANZACs . Of the two regiments most heavily involved , the 57th had been destroyed , and the 27th were exhausted with heavy casualties . Large numbers of the 77th had deserted , and the regiment was in no condition to fight . The 72nd was largely intact , but they were a poorly trained force of Arab conscripts . The III Corps , having to deal with both landings , could not assist as they had no reserves available . It was not until 27 April that the 33rd and 64th Infantry Regiments arrived to reinforce the Turkish forces . The ANZACs , however , had been unable to achieve their obectives , and therefore dug in . Gallipoli , like the Western Front , turned into a war of attrition . The German commander , Liman von Saunders , was clear about the reasons for the outcome . He wrote that , "" on the Turkish side the situation was saved by the immediate and independent action of the 19th Division . "" The division commander , Kemal , became noted as "" the most imaginative , most successful officer to fight on either side "" during the campaign . As a commander he was able to get the most out of his troops , typified by his order to the 57th Infantry Regiment ; "" Men , I am not ordering you to attack . I am ordering you to die . In the time that it takes us to die , other forces and commanders can come and take our place . """,352
wt_6575,"Once , tens of millions of American bison ( commonly called buffalo ) , one of the keystone species of the Great Plains and the Ohio Valley , roamed the plains of the Missouri River basin . Most Native American groups in the basin relied heavily on the bison as a food source , and their hides and bones served to create other household items . In time , the species came to benefit from the indigenous peoples ' periodic controlled burnings of the grasslands surrounding the Missouri to clear out old and dead growth . The large bison population of the region gave rise to the term great bison belt , an area of rich annual grasslands that extended from Alaska to Mexico along the eastern flank of the Continental Divide . However , after the arrival of Europeans in North America , both the bison and the Native Americans saw a rapid decline in population . Hunting eliminated bison populations east of the Mississippi River by 1833 and reduced the numbers in the Missouri basin to a mere few hundred . Foreign diseases such as smallpox raged across the land , decimating Native American populations . Left without their primary source of sustenance , many of the remaining indigenous people were amalgamated into resettlement areas and reservations .",220
wt_6576,"Rate of climb : 2 @,@ 500 ft / min ( 12 @.@ 7 m / s )",18
wt_6577,"The 767s were launched as "" First Business Class "" to charter travelers , but the business model was not successful . The new consumer groups entering the market had low willingness to pay , and the demand for premium charter services was low . The company was faced with not being able to charter out the plane because of the low seat numbers , but could not put in the extra seats because of the aircraft also being used on the scheduled market . Using so large aircraft on the short @-@ haul flights in Southern Norway gave little economy @-@ of @-@ scale , and the airline seldom needed the increased capacity . Braathens SAFE also had problems , because from order to delivery , the exchange rates had increased from 5 to 9 NOK per USD , almost doubling the price in NOK . In 1986 , the two 767s where sold . Two years later , Altas Resor was sold , and the following year Saga . Braathens SAFE closed its bases in Gothenburg and Stockholm , but remained a charter operator with 737s from Norway .",191
wt_6578,"The estates or families of 21 of the 47 passengers filed lawsuits against Polehinke . In response , Polehinke 's attorney , William E. Johnson , raised the possibility of contributory negligence on the part of the passengers . When asked by the plaintiffs ' attorney , David Royse , what that meant , Johnson replied that "" ... ( they ) ... should have been aware of the dangerous conditions that existed in that there had been considerable media coverage about the necessity of improving runway conditions at the airport . "" At the time Johnson submitted the contributory negligence defense , he had not yet been able to speak to Polehinke himself . By the time newspapers reported on the court documents , Johnson said he had already told Royse , who criticized the statements , that he would withdraw the argument . Prior to his employment by Comair , Polehinke worked for Gulfstream International as a captain .",161
wt_6579,"Antimony is incompatible with strong acids , halogenated acids , and oxidizers ; when exposed to newly formed hydrogen it may form stibine ( SbH3 ) .",27
wt_6580,"Bitterest of all was the whispering campaign directed at Anthony Molloy , captain of HMS Caesar . Molloy was accused of cowardice by fellow officers for his failure to follow Howe 's orders on both 29 May and 1 June . Molloy 's request for an official court @-@ martial to clear his name failed , and although his personal courage was not called into question , his professional ability was . Molloy was dismissed from his ship .",79
wt_6581,"The difficult habitat and retiring nature of the invisible rail mean that information on its lifestyle is sparse , and there are few confirmed sightings . Recorded food items include sago shoots and insects . It also feeds at cut sago plants , although it is unclear whether it is eating the decaying plant or searching for other edible items . It swallows small stones , as do all rails , to help break up its food in the gizzard .",81
wt_6582,"Criticism has been leveled against Finkelstein from several angles . The first sources are responses from those whose work Finkelstein has discussed . Daniel Goldhagen , whose book Hitler 's Willing Executioners Finkelstein criticized , claimed his scholarship has "" everything to do with his burning political agenda "" . Alan Dershowitz has written that Peter Novick , Professor of History at the University of Chicago and a noted Holocaust historian whose work Finkelstein says inspired The Holocaust Industry , has strongly criticized the latter 's work , describing it as "" trash "" . Similarly , Dershowitz , whose book The Case for Israel and Finkelstein 's response Beyond Chutzpah sparked an ongoing feud between the two , has claimed Finkelstein 's complicity in a conspiracy against pro @-@ Israel scholars : "" The mode of attack is consistent . Chomsky selects the target and directs Finkelstein to probe the writings in minute detail and conclude that the writer didn 't actually write the work , that it is plagiarized , that it is a hoax and a fraud , "" arguing that Finkelstein has leveled charges against many academics , calling at least 10 "" distinguished Jews ' hucksters ' , ' hoaxters ' ( sic ) , ' thieves ' , ' extortionists ' , and worse . "" Although the back and forth between Finkelstein and Dershowitz received the most attention and attracted significant controversy , Finkelstein has maintained that "" the real issue is Israel 's human rights record . """,256
wt_6583,With epoxides and aziridines the reaction serves as a ring @-@ expansion to produce the corresponding oxetane or azetidine . The long reaction times required for these reactions prevent them from occurring as significant side reactions when synthesizing epoxides and aziridines .,42
wt_6584,"Young children , mostly Jewish , were given elementary musical instruction and also learnt the first rudiments of French grammar ... [ There ] I received a few lessons from the young Alkan , four years my senior ... I see once more ... that really parochial environment where the talent of Valentin Alkan was formed and where his hard @-@ working youth blossomed ... It was like a preparatory school , a juvenile annexe of the Conservatoire .",79
wt_6585,"On 6 February 2016 , Torres scored his 100th goal with Atlético Madrid in a 3 – 1 home league victory against SD Eibar on his 295th appearance for the club . The following month he marked the occasion of his 300th appearance for Atlético Madrid by scoring the winning goal in a 3 – 1 victory over Valencia .",60
wt_6586,"Jordan attended Emsley A. Laney High School in Wilmington , where he anchored his athletic career by playing baseball , football , and basketball . He tried out for the varsity basketball team during his sophomore year , but at 5 ' 11 "" ( 1 @.@ 80 m ) , he was deemed too short to play at that level . His taller friend , Harvest Leroy Smith , was the only sophomore to make the team .",79
wt_6587,"The album received mixed reviews from critics . Review aggregation website Metacritic awarded it an average score of 58 out of 100 , based on eight reviews . Writing for The A.V. Club , Chris Mincher rated the album B − , calling it "" challenging , uncompromising , and bordering on inaccessible "" . Mincher felt that the album was abstract and difficult but contained "" hidden payoffs "" to reward repeated hearings . He called Patton 's arrangements "" haunting "" and "" wraithlike "" . AllRovi 's Thom Jurek rated the album 3 @.@ 5 stars out of 5 , describing the recording as "" a very nearly dazzling endeavor that rewards patience mightily "" . Jurek felt that , as an album , Laborintus II was difficult to grasp at first , by virtue of being a recording of theatrical music , but he praised the performance of Ictus Ensemble , writing of their "" bracing freshness and mischievous glee "" . Eli Kleman of Sputnikmusic rated it 3 @.@ 5 out of 5 , finding it "" fascinating if not unwieldy "" . He felt that Laborintus II was perhaps Patton 's most ambitious album to date , but noted that the musician has previously produced similarly avant @-@ garde records in the past . Kleman described the composition as "" somber , beautiful , and ominous , but always affecting "" .",238
wt_6588,"The Futa Jallon is the highland region where the Senegal and Gambia rivers rise . In the fifteenth century the valleys were occupied by Mandé peoples - Susu and Yalunka farmers . Around that time , Fulbe herders began moving into the region , grazing their livestock on the plateaux . At first they peacefully accepted a subordinate position to the Susu and Yalunka . The Fulbe and Mandé peoples intermixed to some extent , and the more sedentary of the Fulbe came to look down on their pastoral cousins .",91
